[00:01:31]: [Myth-Viet-Scanner] ===== BẮT ĐẦU SCAN =====	
[00:01:32]: [Myth-Viet-Scanner] ----- CHINESE (6281) -----	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MINISIGN.UNDRAWN = 妾身应该在那上面画些东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MONSTERLASAGNA = 这是对本座冒犯。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_KLAUS_ENRAGE = 不要与他正面硬拼！！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_ZONGZI_ITEM2 = 我可不吃肉粽子	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_ROYALTY.3 = 你的样子可真可笑！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BEEFALO.MYPARTNER = 我们永远都是朋友。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MADAMEWEB_PITFALL_GROUNG = 呵呵，雕虫小技罢了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.MYTH_QXJ = 怎会有此物临世	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TRINKET_1 = 融化了。或许薇洛和他们相处愉快？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TROPHYSCALE_FISH.OWNER = 完全没有炫技的意思，大家就随便看看……
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.YANGJIAN_BUZZARD = 那杨二郎定在附近，速速遁去	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ABIGAIL_FLOWER.SOON = 花里沉睡中一个温柔的人！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MOONSPIDERDEN = 一股阴气侵蚀了这个蛛巢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.MYTH_GOLDFROG = 它身上定然有我需要的宝物	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.BLOODTHIRSTY_PILL = 劳心伤神，不可多用	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CAVE_ENTRANCE_OPEN.OPEN = 我敢打赌在那下面肯定能发现各种各样的东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ARCHIVE_SECURITY_DESK.GENERIC = 它想亲近妾身。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WX78.REVIVER = 我猜是%s让感同身受组件启动并运行。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.BIGPEACH = 这般大的蟠桃倒是罕见。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.LAOZI_BELL = 啧啧啧，仙神的玩物罢了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ABIGAIL_FLOWER.HAUNTED_GROUND = 不若我来送你走吧。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.PUMPKIN_SEEDS = 这是一颗种子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SPIDER_MOON.DEAD = 真的死了吧？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.PEACH_WINE = 一壶素酒一湖倾	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BATTLESONG_SANITYAURA = 戏剧让妾身坐立不安。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.GOURD_OMELET = 为什么要加鸡蛋呀	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.JELLYBEAN = 一部分是果冻，一部分是豌豆。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.STAGEHAND.AWAKE = 总之不要伸出你的手，好吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BONE_WAND = 多么美妙的武器	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.HAMMER_MJOLNIR = 这把敲东西的锤子可真重。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_FOOD_FHY = 可以用来宴请客人	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.COMBAT_QUIT.SPIDER_WARRIOR = 不若来替妾身搏斗！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SKYHOUND = 哮天快跟上真君	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTB_SEWINGMACHINE_ITEM = 看来需要组装一下。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_SIVING_BOSS = 小鸟小鸟你在干嘛呀	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TACKLESKETCH = 某种钓具的图片。我打赌我自己就能做……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_FOOD_LXQ = 又大又饱满	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.BONE_WHIP = 邪魔歪道罢了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.LIVINGTREE = 它在观察我吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WALL_RUINS = 一段古老的墙。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BEEFALO.NAKED = 呃，他很伤心。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.YANGJIAN = 嫦娥姐姐邀您去喝杯茶呢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_YUTU = 我才是嫦娥姐姐的宝贝！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_INTERIORS_XL = 檀香定心	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BERRYBUSH_JUICY.WITHERED = 高温将多汁的浆果脱水！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.PIGSY = 快快离广寒宫远一点	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SMALLBIRD.GENERIC = 好小的一只鸟。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_BEES = 蜜蜂！！！！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MUTATEDHOUND.GENERIC = 救救妾身！妾身非常的害怕~	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_FREEDOM = 我自由了！我终于自由了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SHROOMCAKE = 果然名副其实。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.HAMMER = 停下！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WEBBER.FIRESTARTER = 妾身得防一下你了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.YANGJIAN_ARMOR = 清寒逼人	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.PIGSY_HAT = 凡物尔尔	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CARROT_OVERSIZED = 千万别让兔子精看见!	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TRAP_TEETH = 真是糟糕的意外。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.NZ_LANCE = 它摸起来热热的	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ARCHIVE_COOKPOT.DONE = 嗯！可以吃了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.BANANAFAN = 一扇风起	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.KAM_LAN_CASSOCK = 哎呀，这么多宝物！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_RUYI = 这不是姐姐的玉如意吗	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_HIGANBANA_ITEM = 忆往昔，此去黄泉谁相忆	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_SMALL_GOLDFROG = 离我远点！！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTC_SEEDPACKET = 如果你问我，我会说看起来很多籽。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TURNIP_COOKED = 做饭就是将科学付诸实践。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.XZHAT_MK = 那猴子太过分！居然用兔毛做了帽子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.TOKEN_COMMISSIONER = 太阴月华，照耀诸天	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_MOONCAKE_LOTUS = 能让我吸收素食的精华	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.WHIP_COMMISSIONER = 那莫不是专拿鬼魂的勾魂锁	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.BATTLECRY.PIG = 你莫不是那八戒的兄弟！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.HONEY_PIE = 装好放在包包里，带回去。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_PLANT_INFANTREE_TRUNK = 月华浇灌也难回天命	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_BAMBOO_BASKET = 我可不是来采蘑菇的	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ARMORGRASS = 这能挡住什么？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTC_CARRATSHRINE.BURNT = 烤胡萝卜的气味。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SADDLE_RACE = 这鞍具真的在飞！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_FOOD_ZYOH = 惟愿它装点你的梦境	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_FENCE = 玉兔也会画很多样式哦	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_FENCE_ITEM = 玉兔也会画很多样式哦	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_GOLD_STAFF = 梆梆两下，人参果就下俩了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.STUFFING = 都是好料！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_QXJ = 那上面的星星好好看	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.HUA_INTERNET_NODE_SEA = 昔日洛神舞，今有本兔行，嘿嘿	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.HUA_INTERNET_NODE = 我还是去打个秋千吧	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.GOURD_SOUP = 惬意，鲜美	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MYTH_TUDI = 你也要试试本尊的法力？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_IRON_BROADSWORD = 我还是不要这个了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_COIN = 可以拿去买萝卜耶	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PUMPKIN_SEEDS = 这是一颗种子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_YAMA_STATUE4 = 这些灌木可真恐怖	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTC_CARRAT_SCALE_ITEM = 可以秤我的胡萝卜鼠。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_CASH_TREE_GROUND = 可别砸到我	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_YYLP = 让我看看那些东西怎么做的来着	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.MADAMEWEB_SPIDERHOME = 斯，未出生的蛛卵	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MEATRACK.GENERIC = 妾身该晾干一些肉。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.STRAWHAT = 帽子总是会弄乱妾身的发型。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.MYTH_TUDI = 庙小神小，奴家可不稀罕	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MERMHAT = 一股腥味。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FARM_PLOW = 方便的地块设备。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FARM_PLANT.GROWING = 美丽的造物，生长吧！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTC_CARRAT_RACE_FINISH.SOMEONE_ELSE_WON = 哎……恭喜了，{winner}。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.WHITE_BONE = 又是一具千年白骨？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_GOLDFROG_BASE = 好大的金元宝呀	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TENTACLESPIKE = 它又尖又黏。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FARM_SOIL_DEBRIS = 它把我的园子弄得一团糟。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SHOVEL = 地下隐藏着很多秘密。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TILLWEED = 你不该出现在这里！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_FOOD_TSJ = 对月邀饮醉,嫦娥护我睡	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_WORMS = 恶心的蠕虫	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HOTSPRING.EMPTY = 那我就等等它再变满吧。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.FERTILIZER = 我不想知道太多细节。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.POTATOTORNADO = 啊，多么奇妙的组合！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_BANANA_LEAF = 翠叶如玉	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SAPLING.PICKED = 快快发芽吧。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HOUNDBONE = 吓人。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_REDLANTERN_GROUND = 把我心爱的灯笼挂在上面	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_CHANG_E_FURNITURE = 玉兔累了要歇会儿	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TELEBASE.VALID = 它准备好了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SPOILED_FOOD = 那是长满毛毛的腐烂食物。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.DRIFTWOOD_LOG = 能浮在水上。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.STALAGMITE = 妾身看它就是块石头。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CACTUS.PICKED = 再过几天吧。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TURF_FUNGUS_RED = 一块地皮。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WORM.DIRT = 看起来就像一堆土。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ROCK_PETRIFIED_TREE = 生命已经长逝。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_REDLANTERN_GROUND = 月若明灯，走马红尘。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BONE_WHIP = 多么美妙的武器	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MADAMEWEB_SPIDERHOME = 咦！恶心的蛛卵在动	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MADAMEWEB_SPIDERHOME = 蛛丝会保护你们	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TURF_SANDY = 又一种地皮类型。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.THORNS_PILL = 荆棘环绕着我	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.GOLDEN_ARMOR_MK = 妾身恨不得把他撕碎	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_QUAKE = 听起来不妙。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PUMPKIN = 比妾身的腰还要粗的多！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.GOGGLESHAT = 这对护目镜可真时髦。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FIRECRACKERS = 爆竹声中一岁除。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_TUDI_SHRINES = 哇，好漂亮的小庙宇	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_ANTLION_SINKHOLE.2 = 地震！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_LOTUS_FLOWER = 嫦娥姐姐一定会喜欢这出水芙蓉的	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.START_CARRAT_RACE.NO_RACERS = 妾身肯定是遗漏了些什么。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BATTLESONG_INSTANT_PANIC = 恐怕我不是一个持照诗人。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CARNIVAL_GAMETOKEN = 一枚闪亮的代币。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ROCKY = 它的钳子真吓人。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PLAYER.FIRESTARTER = 烧掉这个并不好，%s。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SPICE_SUGAR = 甜！真甜！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MK_JGB_PILLAR = 齐天大圣！威风凛凛！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.WRITE.INUSE = 稍等片刻吧。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TEENBIRD.SLEEPING = 它在眯眼休息。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BEEFALO_GROOMER.BURNT = 妾身用最火的风格打扮了妾身的皮弗娄牛……然而也付出了代价。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_MOONCAKE_LOTUS = 开胃小月饼	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MADAMEWEB_PITFALL_COCOON = 有小白上当了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ARCHIVE_RESONATOR_ITEM = 啊哈！妾身……这是造出来了个什么？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.GOURD_SOUP = 凡物	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WALL_WOOD.GENERIC = 尖的！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.GOLDENSHOVEL = 等不及要挖洞了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.TEACH.CANTLEARN = 我无法学习那个。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DRAGONFRUIT_OVERSIZED = 我还有点期待它会长出翅膀呢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_INTERIORS_PF = 朦朦胧胧，隐隐约约	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FIRESTAFF = 火焰在我手中翻腾。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DUG_BERRYBUSH_JUICY = 这树可移植到家附近。	
